Level 8, Oh 1.0e-02, Oha 1.0e-04, De 1.0e+01, Ec 2.5e-01
i dt t ke ymin
467 0.00151515 0.690909 0.0447216 0.492898
468 0.00151515 0.692424 0.0448877 0.492868
469 0.00151515 0.693939 0.0450543 0.492837
470 0.00151515 0.695455 0.0452211 0.492807
471 0.00151515 0.69697 0.0453883 0.492776
472 0.00151515 0.698485 0.0455558 0.492745
473 0.00151515 0.7 0.0457237 0.492714
474 0.00151515 0.701515 0.0458918 0.492683
475 0.00151515 0.70303 0.0460604 0.492653
476 0.00151515 0.704545 0.0462292 0.492622
477 0.00151515 0.706061 0.0463984 0.49259
478 0.00151515 0.707576 0.046568 0.492559
479 0.00151515 0.709091 0.0467379 0.492528
480 0.00151515 0.710606 0.0469081 0.492497
481 0.00151515 0.712121 0.0470787 0.492466
482 0.00151515 0.713636 0.0472496 0.492434
483 0.00151515 0.715152 0.0474209 0.492403
484 0.00151515 0.716667 0.0475925 0.492371
485 0.00151515 0.718182 0.0477644 0.49234
486 0.00151515 0.719697 0.0479367 0.492308
487 0.00151515 0.721212 0.0481093 0.492277
488 0.00151515 0.722727 0.0482822 0.492245
489 0.00151515 0.724242 0.0484555 0.492213
490 0.00151515 0.725758 0.0486291 0.492181
491 0.00151515 0.727273 0.0488031 0.49215
492 0.00151515 0.728788 0.0489774 0.492118
493 0.00151515 0.730303 0.0491521 0.492086
494 0.00151515 0.731818 0.0493271 0.492054
495 0.00151515 0.733333 0.0495024 0.492022
496 0.00151515 0.734848 0.0496781 0.491989
497 0.00151515 0.736364 0.0498541 0.491957
498 0.00151515 0.737879 0.0500305 0.491925
499 0.00151515 0.739394 0.0502072 0.491893
500 0.00151515 0.740909 0.0503842 0.49186
501 0.00151515 0.742424 0.0505616 0.491828
502 0.00151515 0.743939 0.0507393 0.491795
503 0.00151515 0.745455 0.0509174 0.491763
504 0.00151515 0.74697 0.0510973 0.49173
505 0.00151515 0.748485 0.0512762 0.491698
506 0.00151515 0.75 0.0514555 0.491665
507 0.00151515 0.751515 0.0516351 0.491632
508 0.00151515 0.75303 0.0518149 0.491599
509 0.00151515 0.754545 0.0519951 0.491566
510 0.00151515 0.756061 0.0521746 0.491533
511 0.00151515 0.757576 0.0523555 0.4915
512 0.00151515 0.759091 0.0525368 0.491467
513 0.00151515 0.760606 0.0527184 0.491434
514 0.00151515 0.762121 0.0529003 0.491401
515 0.00151515 0.763636 0.0530826 0.491368
516 0.00151515 0.765152 0.0532652 0.491334
517 0.00151515 0.766667 0.0534481 0.491301
518 0.00151515 0.768182 0.0536314 0.491268
519 0.00151515 0.769697 0.0538151 0.491234
520 0.00151515 0.771212 0.0539969 0.491201
521 0.00151515 0.772727 0.0541814 0.491167
522 0.00151515 0.774242 0.0543662 0.491134
523 0.00151515 0.775758 0.0545508 0.4911
524 0.00151515 0.777273 0.0547363 0.491066
525 0.00151515 0.778788 0.0549222 0.491032
526 0.00151515 0.780303 0.0551085 0.490998
527 0.00151515 0.781818 0.0552951 0.490964
528 0.00151515 0.783333 0.0554821 0.490931
529 0.00151515 0.784848 0.0556694 0.490896
530 0.00151515 0.786364 0.0558572 0.490862
531 0.00151515 0.787879 0.0560452 0.490826
532 0.00151515 0.789394 0.0562336 0.49079
533 0.00151515 0.790909 0.0564224 0.490754
534 0.00151515 0.792424 0.0566115 0.490718
535 0.00151515 0.793939 0.0568009 0.490681
