Level 8, Oh 1.0e-02, Oha 1.0e-04, De 0.0e+00, Ec 0.0e+00
i dt t ke ymin
216 0.00151515 0.310606 0.0148342 0.498535
217 0.00151515 0.312121 0.0149209 0.498521
218 0.00151515 0.313636 0.0150077 0.498506
219 0.00151515 0.315152 0.0150949 0.498492
220 0.00151515 0.316667 0.0151823 0.498477
221 0.00151515 0.318182 0.01527 0.498462
222 0.00151515 0.319697 0.015358 0.498448
223 0.00151515 0.321212 0.0154464 0.498433
224 0.00151515 0.322727 0.0155351 0.498418
225 0.00151515 0.324242 0.0156241 0.498403
226 0.00151515 0.325758 0.0157134 0.498388
227 0.00151515 0.327273 0.0158032 0.498373
228 0.00151515 0.328788 0.0158933 0.498358
229 0.00151515 0.330303 0.0159839 0.498343
230 0.00151515 0.331818 0.0160749 0.498327
231 0.00151515 0.333333 0.0161662 0.498312
232 0.00151515 0.334848 0.0162579 0.498296
233 0.00151515 0.336364 0.0163543 0.498281
234 0.00151515 0.337879 0.0164468 0.498265
235 0.00151515 0.339394 0.0165399 0.49825
236 0.00151515 0.340909 0.0166334 0.498234
237 0.00151515 0.342424 0.0167272 0.498218
238 0.00151515 0.343939 0.0168215 0.498202
239 0.00151515 0.345455 0.016916 0.498186
240 0.00151515 0.34697 0.017011 0.498171
241 0.00151515 0.348485 0.0171063 0.498154
242 0.00151515 0.35 0.0172019 0.498138
243 0.00151515 0.351515 0.0172979 0.498122
244 0.00151515 0.35303 0.0173942 0.498106
245 0.00151515 0.354545 0.0174908 0.49809
246 0.00151515 0.356061 0.0175876 0.498073
247 0.00151515 0.357576 0.0176848 0.498057
248 0.00151515 0.359091 0.0177822 0.49804
249 0.00151515 0.360606 0.0178798 0.498024
250 0.00151515 0.362121 0.0179777 0.498007
251 0.00151515 0.363636 0.0180767 0.49799
252 0.00151515 0.365152 0.0181756 0.497974
253 0.00151515 0.366667 0.0182748 0.497957
254 0.00151515 0.368182 0.018374 0.49794
255 0.00151515 0.369697 0.0184734 0.497923
256 0.00151515 0.371212 0.0185731 0.497906
257 0.00151515 0.372727 0.018673 0.497889
258 0.00151515 0.374242 0.0187745 0.497872
259 0.00151515 0.375758 0.0188749 0.497855
260 0.00151515 0.377273 0.0189757 0.497837
261 0.00151515 0.378788 0.0190768 0.49782
262 0.00151515 0.380303 0.0191782 0.497802
263 0.00151515 0.381818 0.01928 0.497785
264 0.00151515 0.383333 0.0193821 0.497767
265 0.00151515 0.384848 0.0194846 0.49775
266 0.00151515 0.386364 0.0195874 0.497732
267 0.00151515 0.387879 0.0196907 0.497714
268 0.00151515 0.389394 0.0197944 0.497696
269 0.00151515 0.390909 0.0198984 0.497678
270 0.00151515 0.392424 0.0200029 0.497661
271 0.00151515 0.393939 0.0201078 0.497642
272 0.00151515 0.395455 0.0202131 0.497624
273 0.00151515 0.39697 0.0203188 0.497606
274 0.00151515 0.398485 0.0204245 0.497588
275 0.00151515 0.4 0.0205311 0.49757
276 0.00151515 0.401515 0.0206381 0.497551
277 0.00151515 0.40303 0.0207415 0.497533
278 0.00151515 0.404545 0.0208496 0.497514
279 0.00151515 0.406061 0.0209577 0.497496
280 0.00151515 0.407576 0.0210662 0.497477
281 0.00151515 0.409091 0.0211751 0.497458
282 0.00151515 0.410606 0.0212845 0.497439
283 0.00151515 0.412121 0.0213967 0.49742
284 0.00151515 0.413636 0.0215071 0.497401
285 0.00151515 0.415152 0.0216178 0.497382
286 0.00151515 0.416667 0.0217286 0.497363
287 0.00151515 0.418182 0.0218397 0.497344
288 0.00151515 0.419697 0.0219512 0.497325
289 0.00151515 0.421212 0.022063 0.497306
290 0.00151515 0.422727 0.0221751 0.497286
291 0.00151515 0.424242 0.0222876 0.497267
292 0.00151515 0.425758 0.0224004 0.497247
293 0.00151515 0.427273 0.0225136 0.497228
294 0.00151515 0.428788 0.0226271 0.497208
295 0.00151515 0.430303 0.0227409 0.497188
